ags,public_precincts,public_valid_zweit,public_cdu_zweit,official_precincts,official_valid_zweit,official_cdu_zweit,valid_diff,cdu_diff,precinct_diff
23508122,1.0,475.0,187.0,1.0,475.0,187.0,0.0,0.0,0.0
23508123,1.0,63.0,19.0,1.0,63.0,19.0,0.0,0.0,0.0
23508126,1.0,929.0,324.0,1.0,929.0,324.0,0.0,0.0,0.0
23508131,1.0,421.0,122.0,1.0,421.0,122.0,0.0,0.0,0.0
23508136,1.0,589.0,248.0,1.0,589.0,248.0,0.0,0.0,0.0
23508142,1.0,468.0,134.0,1.0,468.0,134.0,0.0,0.0,0.0
23508149,3.0,880.0,317.0,3.0,880.0,317.0,0.0,0.0,0.0
23508152,1.0,820.0,261.0,1.0,820.0,261.0,0.0,0.0,0.0
23508154,4.0,372.0,145.0,4.0,372.0,145.0,0.0,0.0,0.0
31200000,86.0,41162.0,9092.0,86.0,41162.0,9092.0,0.0,0.0,0.0
31300000,42.0,24919.0,5676.0,42.0,24919.0,5676.0,0.0,0.0,0.0
31600000,57.0,27376.0,7630.0,57.0,27376.0,7630.0,0.0,0.0,0.0
31800000,44.0,23330.0,6164.0,44.0,23330.0,6164.0,0.0,0.0,0.0
