capture,time,commit,party,votes,share
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,FREIE WÄHLER,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Mieterpartei,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Die Urbane.,350,0.07893318418720245
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,DKP,535,0.12065501011472375
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,ÖDP,601,0.13553955341859622
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Die Heimat,180,0.04059420901056126
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,bergpartei,15,0.003382850750880105
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,SGP,157,0.0354071711925451
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Menschliche Welt,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,AB Spandau,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Ausländer für Berlin,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Migrants for Neukölln,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Berliner:innen ohne Grenzen,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Berlin Retten,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,BSW,22858,5.155013497574496
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Losdemokratie,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,MERA25,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,PdF,1322,0.29814191284423325
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Jan Mihm: Bester Mann,0,0.0
2026-09-20-19-54-31,2026-09-20T17:54:33.945710+00:00,b28b246566699b0e2cdddee4848d68fc603aa4f2,Demokratische Linke,0,0.0
